Running MPCC

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
du = [ 6.72838802e-09 -3.05120039e-08]  | limits = [0.25, 0.6]
k=741, solve_time = 10.29 ms
du = [ 6.69757967e-09 -3.03782354e-08]  | limits = [0.25, 0.6]
k=742, solve_time = 10.24 ms
du = [ 6.66689781e-09 -3.02450438e-08]  | limits = [0.25, 0.6]
k=743, solve_time = 10.26 ms
du = [ 6.63634824e-09 -3.01124263e-08]  | limits = [0.25, 0.6]
k=744, solve_time = 10.26 ms
du = [ 6.60592601e-09 -2.99803801e-08]  | limits = [0.25, 0.6]
k=745, solve_time = 10.22 ms
du = [ 6.57562943e-09 -2.98489027e-08]  | limits = [0.25, 0.6]
k=746, solve_time = 10.31 ms
du = [ 6.54547444e-09 -2.97179915e-08]  | limits = [0.25, 0.6]
k=747, solve_time = 10.19 ms
du = [ 6.51542171e-09 -2.95876437e-08]  | limits = [0.25, 0.6]
k=748, solve_time = 10.21 ms
du = [ 6.48552299e-09 -2.94578567e-08]  | limits = [0.25, 0.6]
k=749, solve_time = 10.25 ms
du = [ 6.45573099e-09 -2.93286281e-08]  | limits = [0.25, 0.6]
k=750, solve_time = 10.24 ms
du = [ 6.42607901e-09 -2.91999553e-08]  | limits = [0.25, 0.6]
k=751, solve_time = 10.25 ms
du = [ 6.39653538e-09 -2.90718357e-08]  | limits = [0.25, 0.6]
k=752, solve_time = 10.24 ms
du = [ 6.36713101e-09 -2.89442666e-08]  | limits = [0.25, 0.6]
k=753, solve_time = 10.28 ms
du = [ 6.33784255e-09 -2.88172459e-08]  | limits = [0.25, 0.6]
k=754, solve_time = 10.18 ms
du = [ 6.30868077e-09 -2.86907707e-08]  | limits = [0.25, 0.6]
k=755, solve_time = 10.19 ms
du = [ 6.27964357e-09 -2.85648388e-08]  | limits = [0.25, 0.6]
k=756, solve_time = 10.21 ms
du = [ 6.25072546e-09 -2.84394476e-08]  | limits = [0.25, 0.6]
k=757, solve_time = 10.26 ms
du = [ 6.22192302e-09 -2.83145947e-08]  | limits = [0.25, 0.6]
k=758, solve_time = 10.29 ms
du = [ 6.19325237e-09 -2.81902777e-08]  | limits = [0.25, 0.6]
k=759, solve_time = 10.22 ms
du = [ 6.16469656e-09 -2.80664941e-08]  | limits = [0.25, 0.6]
k=760, solve_time = 10.10 ms
du = [ 6.13626137e-09 -2.79432416e-08]  | limits = [0.25, 0.6]
k=761, solve_time = 10.23 ms
du = [ 6.10795364e-09 -2.78205178e-08]  | limits = [0.25, 0.6]
k=762, solve_time = 10.20 ms
du = [ 6.07974990e-09 -2.76983202e-08]  | limits = [0.25, 0.6]
k=763, solve_time = 10.13 ms
du = [ 6.05167191e-09 -2.75766467e-08]  | limits = [0.25, 0.6]
k=764, solve_time = 10.27 ms
du = [ 6.02371552e-09 -2.74554948e-08]  | limits = [0.25, 0.6]
k=765, solve_time = 10.15 ms
du = [ 5.99587227e-09 -2.73348623e-08]  | limits = [0.25, 0.6]
k=766, solve_time = 10.27 ms
du = [ 5.96814605e-09 -2.72147468e-08]  | limits = [0.25, 0.6]
k=767, solve_time = 10.23 ms
du = [ 5.94053858e-09 -2.70951461e-08]  | limits = [0.25, 0.6]
k=768, solve_time = 10.29 ms
du = [ 5.91304411e-09 -2.69760576e-08]  | limits = [0.25, 0.6]
k=769, solve_time = 10.26 ms
du = [ 5.88566283e-09 -2.68574797e-08]  | limits = [0.25, 0.6]
k=770, solve_time = 10.20 ms
du = [ 5.85840622e-09 -2.67394096e-08]  | limits = [0.25, 0.6]
k=771, solve_time = 10.19 ms
du = [ 5.83125471e-09 -2.66218453e-08]  | limits = [0.25, 0.6]
k=772, solve_time = 10.28 ms
du = [ 5.80421889e-09 -2.65047845e-08]  | limits = [0.25, 0.6]
k=773, solve_time = 10.28 ms
du = [ 5.77729250e-09 -2.63882251e-08]  | limits = [0.25, 0.6]
k=774, solve_time = 10.21 ms
du = [ 5.75048999e-09 -2.62721648e-08]  | limits = [0.25, 0.6]
k=775, solve_time = 10.20 ms
du = [ 5.72379044e-09 -2.61566016e-08]  | limits = [0.25, 0.6]
k=776, solve_time = 10.20 ms
du = [ 5.69721227e-09 -2.60415332e-08]  | limits = [0.25, 0.6]
k=777, solve_time = 10.19 ms
du = [ 5.67072625e-09 -2.59269575e-08]  | limits = [0.25, 0.6]
k=778, solve_time = 10.20 ms
du = [ 5.64437401e-09 -2.58128723e-08]  | limits = [0.25, 0.6]
k=779, solve_time = 10.23 ms
du = [ 5.61811621e-09 -2.56992757e-08]  | limits = [0.25, 0.6]
k=780, solve_time = 10.23 ms
du = [ 5.59198027e-09 -2.55861654e-08]  | limits = [0.25, 0.6]
k=781, solve_time = 10.25 ms
du = [ 5.56593782e-09 -2.54735394e-08]  | limits = [0.25, 0.6]
k=782, solve_time = 10.27 ms
du = [ 5.54002034e-09 -2.53613955e-08]  | limits = [0.25, 0.6]
k=783, solve_time = 10.20 ms
du = [ 5.51420888e-09 -2.52497318e-08]  | limits = [0.25, 0.6]
k=784, solve_time = 10.24 ms
du = [ 5.48849353e-09 -2.51385462e-08]  | limits = [0.25, 0.6]
k=785, solve_time = 10.24 ms
du = [ 5.46290240e-09 -2.50278368e-08]  | limits = [0.25, 0.6]
k=786, solve_time = 10.25 ms
du = [ 5.43740358e-09 -2.49176012e-08]  | limits = [0.25, 0.6]
k=787, solve_time = 10.27 ms
du = [ 5.41202128e-09 -2.48078377e-08]  | limits = [0.25, 0.6]
k=788, solve_time = 10.15 ms
du = [ 5.38674264e-09 -2.46985443e-08]  | limits = [0.25, 0.6]
k=789, solve_time = 10.17 ms
du = [ 5.36156940e-09 -2.45897188e-08]  | limits = [0.25, 0.6]
k=790, solve_time = 10.25 ms
du = [ 5.33649721e-09 -2.44813595e-08]  | limits = [0.25, 0.6]
k=791, solve_time = 10.21 ms
du = [ 5.31153975e-09 -2.43734642e-08]  | limits = [0.25, 0.6]
k=792, solve_time = 10.21 ms
du = [ 5.28667536e-09 -2.42660312e-08]  | limits = [0.25, 0.6]
k=793, solve_time = 10.17 ms
du = [ 5.26192402e-09 -2.41590581e-08]  | limits = [0.25, 0.6]
k=794, solve_time = 10.27 ms
du = [ 5.23727272e-09 -2.40525436e-08]  | limits = [0.25, 0.6]
k=795, solve_time = 10.25 ms
du = [ 5.21272562e-09 -2.39464853e-08]  | limits = [0.25, 0.6]
k=796, solve_time = 10.18 ms
du = [ 5.18827698e-09 -2.38408816e-08]  | limits = [0.25, 0.6]
k=797, solve_time = 10.25 ms
du = [ 5.16394144e-09 -2.37357304e-08]  | limits = [0.25, 0.6]
k=798, solve_time = 10.25 ms
du = [ 5.13969791e-09 -2.36310298e-08]  | limits = [0.25, 0.6]
k=799, solve_time = 10.23 ms
du = [ 5.11555380e-09 -2.35267782e-08]  | limits = [0.25, 0.6]
k=800, solve_time = 10.25 ms
du = [ 5.09151912e-09 -2.34229735e-08]  | limits = [0.25, 0.6]
k=801, solve_time = 10.20 ms
du = [ 5.06758103e-09 -2.33196139e-08]  | limits = [0.25, 0.6]
k=802, solve_time = 10.26 ms
du = [ 5.04374905e-09 -2.32166976e-08]  | limits = [0.25, 0.6]
k=803, solve_time = 10.30 ms
du = [ 5.02000716e-09 -2.31142228e-08]  | limits = [0.25, 0.6]
k=804, solve_time = 10.23 ms
du = [ 4.99636844e-09 -2.30121876e-08]  | limits = [0.25, 0.6]
k=805, solve_time = 10.21 ms
du = [ 4.97283073e-09 -2.29105902e-08]  | limits = [0.25, 0.6]
k=806, solve_time = 10.16 ms
du = [ 4.94938905e-09 -2.28094290e-08]  | limits = [0.25, 0.6]
k=807, solve_time = 10.24 ms
du = [ 4.92604997e-09 -2.27087018e-08]  | limits = [0.25, 0.6]
k=808, solve_time = 10.20 ms
du = [ 4.90280488e-09 -2.26084072e-08]  | limits = [0.25, 0.6]
k=809, solve_time = 10.34 ms
du = [ 4.87965582e-09 -2.25085435e-08]  | limits = [0.25, 0.6]
k=810, solve_time = 10.19 ms
du = [ 4.85660990e-09 -2.24091086e-08]  | limits = [0.25, 0.6]
k=811, solve_time = 10.17 ms
du = [ 4.83365417e-09 -2.23101009e-08]  | limits = [0.25, 0.6]
k=812, solve_time = 10.23 ms
du = [ 4.81080011e-09 -2.22115187e-08]  | limits = [0.25, 0.6]
k=813, solve_time = 10.24 ms
du = [ 4.78803916e-09 -2.21133605e-08]  | limits = [0.25, 0.6]
k=814, solve_time = 10.26 ms
du = [ 4.76537277e-09 -2.20156240e-08]  | limits = [0.25, 0.6]
k=815, solve_time = 10.25 ms
du = [ 4.74279545e-09 -2.19183081e-08]  | limits = [0.25, 0.6]
k=816, solve_time = 10.27 ms
du = [ 4.72033125e-09 -2.18214107e-08]  | limits = [0.25, 0.6]
k=817, solve_time = 10.26 ms
du = [ 4.69794454e-09 -2.17249305e-08]  | limits = [0.25, 0.6]
k=818, solve_time = 10.29 ms
du = [ 4.67566085e-09 -2.16288654e-08]  | limits = [0.25, 0.6]
k=819, solve_time = 10.25 ms
du = [ 4.65346064e-09 -2.15332139e-08]  | limits = [0.25, 0.6]
k=820, solve_time = 10.23 ms
du = [ 4.63136593e-09 -2.14379745e-08]  | limits = [0.25, 0.6]
k=821, solve_time = 10.25 ms
du = [ 4.60935618e-09 -2.13431454e-08]  | limits = [0.25, 0.6]
k=822, solve_time = 10.22 ms
du = [ 4.58744368e-09 -2.12487249e-08]  | limits = [0.25, 0.6]
k=823, solve_time = 10.23 ms
du = [ 4.56561188e-09 -2.11547115e-08]  | limits = [0.25, 0.6]
k=824, solve_time = 10.29 ms
du = [ 4.54389770e-09 -2.10611036e-08]  | limits = [0.25, 0.6]
k=825, solve_time = 10.22 ms
du = [ 4.52224408e-09 -2.09678995e-08]  | limits = [0.25, 0.6]
k=826, solve_time = 10.26 ms
du = [ 4.50069709e-09 -2.08750975e-08]  | limits = [0.25, 0.6]
k=827, solve_time = 10.22 ms
du = [ 4.47923974e-09 -2.07826962e-08]  | limits = [0.25, 0.6]
k=828, solve_time = 10.21 ms
du = [ 4.4578810e-09 -2.0690694e-08]  | limits = [0.25, 0.6]
k=829, solve_time = 10.22 ms
du = [ 4.43658919e-09 -2.05990892e-08]  | limits = [0.25, 0.6]
k=830, solve_time = 10.26 ms
du = [ 4.41541167e-09 -2.05078803e-08]  | limits = [0.25, 0.6]
k=831, solve_time = 10.24 ms
du = [ 4.39430609e-09 -2.04170657e-08]  | limits = [0.25, 0.6]
k=832, solve_time = 10.24 ms
du = [ 4.37330214e-09 -2.03266440e-08]  | limits = [0.25, 0.6]
k=833, solve_time = 10.20 ms
du = [ 4.35237532e-09 -2.02366133e-08]  | limits = [0.25, 0.6]
k=834, solve_time = 10.22 ms
du = [ 4.33154909e-09 -2.01469724e-08]  | limits = [0.25, 0.6]
k=835, solve_time = 10.19 ms
du = [ 4.31079737e-09 -2.00577198e-08]  | limits = [0.25, 0.6]
k=836, solve_time = 10.18 ms
du = [ 4.29014050e-09 -1.99688537e-08]  | limits = [0.25, 0.6]
k=837, solve_time = 10.16 ms
du = [ 4.26957421e-09 -1.98803728e-08]  | limits = [0.25, 0.6]
k=838, solve_time = 10.26 ms
du = [ 4.24908801e-09 -1.97922754e-08]  | limits = [0.25, 0.6]
k=839, solve_time = 10.25 ms
du = [ 4.22869010e-09 -1.97045603e-08]  | limits = [0.25, 0.6]
k=840, solve_time = 10.27 ms
du = [ 4.20838368e-09 -1.96172257e-08]  | limits = [0.25, 0.6]
k=841, solve_time = 10.26 ms
du = [ 4.18815135e-09 -1.95302703e-08]  | limits = [0.25, 0.6]
k=842, solve_time = 10.20 ms
du = [ 4.16801974e-09 -1.94436927e-08]  | limits = [0.25, 0.6]
k=843, solve_time = 10.26 ms
du = [ 4.14796039e-09 -1.93574912e-08]  | limits = [0.25, 0.6]
k=844, solve_time = 10.21 ms
du = [ 4.12799334e-09 -1.92716645e-08]  | limits = [0.25, 0.6]
k=845, solve_time = 10.21 ms
du = [ 4.10810650e-09 -1.91862112e-08]  | limits = [0.25, 0.6]
k=846, solve_time = 10.22 ms
du = [ 4.08831094e-09 -1.91011297e-08]  | limits = [0.25, 0.6]
k=847, solve_time = 10.16 ms
du = [ 4.06859008e-09 -1.90164185e-08]  | limits = [0.25, 0.6]
k=848, solve_time = 10.23 ms
du = [ 4.04895837e-09 -1.89320765e-08]  | limits = [0.25, 0.6]
k=849, solve_time = 10.26 ms
du = [ 4.02940654e-09 -1.88481019e-08]  | limits = [0.25, 0.6]
k=850, solve_time = 10.23 ms
du = [ 4.00994244e-09 -1.87644936e-08]  | limits = [0.25, 0.6]
k=851, solve_time = 10.25 ms
du = [ 3.99055889e-09 -1.86812501e-08]  | limits = [0.25, 0.6]
k=852, solve_time = 10.22 ms
du = [ 3.97125779e-09 -1.85983698e-08]  | limits = [0.25, 0.6]
k=853, solve_time = 10.23 ms
du = [ 3.95203744e-09 -1.85158516e-08]  | limits = [0.25, 0.6]
k=854, solve_time = 10.28 ms
du = [ 3.93289809e-09 -1.84336938e-08]  | limits = [0.25, 0.6]
k=855, solve_time = 10.25 ms
du = [ 3.91384255e-09 -1.83518953e-08]  | limits = [0.25, 0.6]
k=856, solve_time = 10.25 ms
du = [ 3.89486441e-09 -1.82704547e-08]  | limits = [0.25, 0.6]
k=857, solve_time = 10.26 ms
du = [ 3.87597237e-09 -1.81893704e-08]  | limits = [0.25, 0.6]
k=858, solve_time = 10.23 ms
du = [ 3.85715628e-09 -1.81086413e-08]  | limits = [0.25, 0.6]
k=859, solve_time = 10.26 ms
du = [ 3.83841960e-09 -1.80282659e-08]  | limits = [0.25, 0.6]
k=860, solve_time = 10.28 ms
du = [ 3.81977452e-09 -1.79482429e-08]  | limits = [0.25, 0.6]
k=861, solve_time = 10.19 ms
du = [ 3.80119244e-09 -1.78685710e-08]  | limits = [0.25, 0.6]
k=862, solve_time = 10.19 ms
du = [ 3.78270275e-09 -1.77892486e-08]  | limits = [0.25, 0.6]
k=863, solve_time = 10.24 ms
du = [ 3.76427899e-09 -1.77102749e-08]  | limits = [0.25, 0.6]
k=864, solve_time = 10.28 ms
du = [ 3.74594487e-09 -1.76316480e-08]  | limits = [0.25, 0.6]
k=865, solve_time = 10.30 ms
du = [ 3.7276887e-09 -1.7553367e-08]  | limits = [0.25, 0.6]
k=866, solve_time = 10.28 ms
du = [ 3.70950390e-09 -1.74754305e-08]  | limits = [0.25, 0.6]
k=867, solve_time = 10.27 ms
du = [ 3.69140386e-09 -1.73978369e-08]  | limits = [0.25, 0.6]
k=868, solve_time = 10.24 ms
du = [ 3.67337278e-09 -1.73205853e-08]  | limits = [0.25, 0.6]
k=869, solve_time = 10.19 ms
du = [ 3.65542784e-09 -1.72436743e-08]  | limits = [0.25, 0.6]
k=870, solve_time = 10.21 ms
du = [ 3.63755509e-09 -1.71671025e-08]  | limits = [0.25, 0.6]
k=871, solve_time = 10.16 ms
du = [ 3.61975714e-09 -1.70908687e-08]  | limits = [0.25, 0.6]
k=872, solve_time = 10.23 ms
du = [ 3.60204656e-09 -1.70149715e-08]  | limits = [0.25, 0.6]
k=873, solve_time = 10.23 ms
du = [ 3.5843964e-09 -1.6939410e-08]  | limits = [0.25, 0.6]
k=874, solve_time = 10.24 ms
du = [ 3.56683301e-09 -1.68641824e-08]  | limits = [0.25, 0.6]
k=875, solve_time = 10.26 ms
du = [ 3.54933912e-09 -1.67892878e-08]  | limits = [0.25, 0.6]
k=876, solve_time = 10.23 ms
du = [ 3.53192861e-09 -1.67147251e-08]  | limits = [0.25, 0.6]
k=877, solve_time = 10.31 ms
du = [ 3.51457889e-09 -1.66404926e-08]  | limits = [0.25, 0.6]
k=878, solve_time = 10.30 ms
du = [ 3.49732018e-09 -1.65665893e-08]  | limits = [0.25, 0.6]
k=879, solve_time = 10.25 ms
du = [ 3.48012312e-09 -1.64930142e-08]  | limits = [0.25, 0.6]
k=880, solve_time = 10.26 ms
du = [ 3.46300939e-09 -1.64197656e-08]  | limits = [0.25, 0.6]
k=881, solve_time = 10.22 ms
du = [ 3.44596329e-09 -1.63468426e-08]  | limits = [0.25, 0.6]
k=882, solve_time = 10.27 ms
du = [ 3.42899029e-09 -1.62742440e-08]  | limits = [0.25, 0.6]
k=883, solve_time = 10.20 ms
du = [ 3.41209844e-09 -1.62019684e-08]  | limits = [0.25, 0.6]
k=884, solve_time = 10.26 ms
du = [ 3.39526955e-09 -1.61300146e-08]  | limits = [0.25, 0.6]
k=885, solve_time = 10.30 ms
du = [ 3.37852045e-09 -1.60583815e-08]  | limits = [0.25, 0.6]
k=886, solve_time = 10.26 ms
du = [ 3.36184304e-09 -1.59870681e-08]  | limits = [0.25, 0.6]
k=887, solve_time = 10.30 ms
du = [ 3.34523565e-09 -1.59160727e-08]  | limits = [0.25, 0.6]
k=888, solve_time = 10.30 ms
du = [ 3.32869963e-09 -1.58453947e-08]  | limits = [0.25, 0.6]
k=889, solve_time = 10.16 ms
du = [ 3.31224039e-09 -1.57750325e-08]  | limits = [0.25, 0.6]
k=890, solve_time = 10.23 ms
du = [ 3.29584539e-09 -1.57049850e-08]  | limits = [0.25, 0.6]
k=891, solve_time = 10.29 ms
du = [ 3.27952392e-09 -1.56352512e-08]  | limits = [0.25, 0.6]
k=892, solve_time = 10.26 ms
du = [ 3.26327590e-09 -1.55658298e-08]  | limits = [0.25, 0.6]
k=893, solve_time = 10.28 ms
du = [ 3.24710265e-09 -1.54967197e-08]  | limits = [0.25, 0.6]
k=894, solve_time = 10.18 ms
du = [ 3.23098532e-09 -1.54279197e-08]  | limits = [0.25, 0.6]
k=895, solve_time = 10.22 ms
du = [ 3.21495057e-09 -1.53594287e-08]  | limits = [0.25, 0.6]
k=896, solve_time = 10.23 ms
du = [ 3.19898777e-09 -1.52912455e-08]  | limits = [0.25, 0.6]
k=897, solve_time = 10.21 ms
du = [ 3.18308755e-09 -1.52233690e-08]  | limits = [0.25, 0.6]
k=898, solve_time = 10.25 ms
du = [ 3.16725529e-09 -1.51557979e-08]  | limits = [0.25, 0.6]
k=899, solve_time = 10.23 ms
du = [ 3.15149393e-09 -1.50885315e-08]  | limits = [0.25, 0.6]
k=900, solve_time = 10.28 ms
du = [ 3.13580763e-09 -1.50215683e-08]  | limits = [0.25, 0.6]
k=901, solve_time = 10.29 ms
du = [ 3.12018230e-09 -1.49549071e-08]  | limits = [0.25, 0.6]
k=902, solve_time = 10.25 ms
du = [ 3.10462668e-09 -1.48885472e-08]  | limits = [0.25, 0.6]
k=903, solve_time = 10.27 ms
du = [ 3.08914428e-09 -1.48224872e-08]  | limits = [0.25, 0.6]
k=904, solve_time = 10.21 ms
du = [ 3.07372173e-09 -1.47567260e-08]  | limits = [0.25, 0.6]
k=905, solve_time = 10.21 ms
du = [ 3.05837837e-09 -1.46912626e-08]  | limits = [0.25, 0.6]
k=906, solve_time = 10.26 ms
du = [ 3.04308689e-09 -1.46260958e-08]  | limits = [0.25, 0.6]
k=907, solve_time = 10.17 ms
du = [ 3.02787867e-09 -1.45612247e-08]  | limits = [0.25, 0.6]
k=908, solve_time = 10.23 ms
du = [ 3.01272490e-09 -1.44966479e-08]  | limits = [0.25, 0.6]
k=909, solve_time = 10.24 ms
du = [ 2.99764543e-09 -1.44323645e-08]  | limits = [0.25, 0.6]
k=910, solve_time = 10.24 ms
du = [ 2.98262634e-09 -1.43683735e-08]  | limits = [0.25, 0.6]
k=911, solve_time = 10.31 ms
du = [ 2.96768508e-09 -1.43046738e-08]  | limits = [0.25, 0.6]
k=912, solve_time = 10.24 ms
du = [ 2.95278998e-09 -1.42412642e-08]  | limits = [0.25, 0.6]
k=913, solve_time = 10.21 ms
du = [ 2.93797932e-09 -1.41781436e-08]  | limits = [0.25, 0.6]
k=914, solve_time = 10.23 ms
du = [ 2.92322126e-09 -1.41153112e-08]  | limits = [0.25, 0.6]
k=915, solve_time = 10.23 ms
du = [ 2.90854045e-09 -1.40527656e-08]  | limits = [0.25, 0.6]
k=916, solve_time = 10.23 ms
du = [ 2.89390685e-09 -1.39905062e-08]  | limits = [0.25, 0.6]
k=917, solve_time = 10.24 ms
du = [ 2.87936468e-09 -1.39285315e-08]  | limits = [0.25, 0.6]
k=918, solve_time = 10.22 ms
du = [ 2.86486038e-09 -1.38668407e-08]  | limits = [0.25, 0.6]
k=919, solve_time = 10.25 ms
du = [ 2.85043599e-09 -1.38054327e-08]  | limits = [0.25, 0.6]
k=920, solve_time = 10.18 ms
du = [ 2.83607101e-09 -1.37443064e-08]  | limits = [0.25, 0.6]
k=921, solve_time = 10.24 ms
du = [ 2.82177039e-09 -1.36834609e-08]  | limits = [0.25, 0.6]
k=922, solve_time = 10.17 ms
du = [ 2.80753284e-09 -1.36228951e-08]  | limits = [0.25, 0.6]
k=923, solve_time = 10.21 ms
du = [ 2.79335654e-09 -1.35626080e-08]  | limits = [0.25, 0.6]
k=924, solve_time = 10.25 ms
du = [ 2.77924685e-09 -1.35025985e-08]  | limits = [0.25, 0.6]
k=925, solve_time = 10.25 ms
du = [ 2.76520363e-09 -1.34428657e-08]  | limits = [0.25, 0.6]
k=926, solve_time = 10.19 ms
du = [ 2.75120684e-09 -1.33834086e-08]  | limits = [0.25, 0.6]
k=927, solve_time = 10.22 ms
du = [ 2.73729952e-09 -1.33242259e-08]  | limits = [0.25, 0.6]
k=928, solve_time = 10.23 ms
du = [ 2.72343221e-09 -1.32653170e-08]  | limits = [0.25, 0.6]
k=929, solve_time = 10.21 ms
du = [ 2.70962994e-09 -1.32066808e-08]  | limits = [0.25, 0.6]
k=930, solve_time = 10.19 ms
du = [ 2.69589220e-09 -1.31483161e-08]  | limits = [0.25, 0.6]
k=931, solve_time = 10.22 ms
du = [ 2.68222942e-09 -1.30902220e-08]  | limits = [0.25, 0.6]
k=932, solve_time = 10.33 ms
du = [ 2.66860240e-09 -1.30323977e-08]  | limits = [0.25, 0.6]
k=933, solve_time = 10.22 ms
du = [ 2.65505523e-09 -1.29748421e-08]  | limits = [0.25, 0.6]
k=934, solve_time = 10.20 ms
du = [ 2.64156310e-09 -1.29175539e-08]  | limits = [0.25, 0.6]
k=935, solve_time = 10.22 ms
du = [ 2.62813291e-09 -1.28605326e-08]  | limits = [0.25, 0.6]
k=936, solve_time = 10.17 ms
du = [ 2.61476423e-09 -1.28037771e-08]  | limits = [0.25, 0.6]
k=937, solve_time = 10.20 ms
du = [ 2.60144698e-09 -1.27472862e-08]  | limits = [0.25, 0.6]
k=938, solve_time = 10.19 ms
du = [ 2.58820596e-09 -1.26910593e-08]  | limits = [0.25, 0.6]
k=939, solve_time = 10.15 ms
du = [ 2.57500627e-09 -1.26350949e-08]  | limits = [0.25, 0.6]
k=940, solve_time = 10.26 ms
du = [ 2.56188195e-09 -1.25793928e-08]  | limits = [0.25, 0.6]
k=941, solve_time = 10.23 ms
du = [ 2.54880900e-09 -1.25239513e-08]  | limits = [0.25, 0.6]
k=942, solve_time = 10.27 ms
du = [ 2.53579508e-09 -1.24687699e-08]  | limits = [0.25, 0.6]
k=943, solve_time = 10.29 ms
du = [ 2.52284326e-09 -1.24138476e-08]  | limits = [0.25, 0.6]
k=944, solve_time = 10.19 ms
du = [ 2.50994863e-09 -1.23591832e-08]  | limits = [0.25, 0.6]
k=945, solve_time = 10.23 ms
du = [ 2.49711095e-09 -1.23047760e-08]  | limits = [0.25, 0.6]
k=946, solve_time = 10.23 ms
du = [ 2.48433465e-09 -1.22506251e-08]  | limits = [0.25, 0.6]
k=947, solve_time = 10.23 ms
du = [ 2.47161668e-09 -1.21967293e-08]  | limits = [0.25, 0.6]
k=948, solve_time = 10.26 ms
du = [ 2.45895172e-09 -1.21430879e-08]  | limits = [0.25, 0.6]
k=949, solve_time = 10.18 ms
du = [ 2.44635349e-09 -1.20897000e-08]  | limits = [0.25, 0.6]
k=950, solve_time = 10.18 ms
du = [ 2.43379853e-09 -1.20365645e-08]  | limits = [0.25, 0.6]
k=951, solve_time = 10.22 ms
du = [ 2.42131453e-09 -1.19836806e-08]  | limits = [0.25, 0.6]
k=952, solve_time = 10.22 ms
du = [ 2.40888262e-09 -1.19310473e-08]  | limits = [0.25, 0.6]
k=953, solve_time = 10.23 ms
du = [ 2.39650770e-09 -1.18786638e-08]  | limits = [0.25, 0.6]
k=954, solve_time = 10.20 ms
du = [ 2.38418447e-09 -1.18265291e-08]  | limits = [0.25, 0.6]
k=955, solve_time = 10.18 ms
du = [ 2.37192813e-09 -1.17746423e-08]  | limits = [0.25, 0.6]
k=956, solve_time = 10.21 ms
du = [ 2.35972134e-09 -1.17230025e-08]  | limits = [0.25, 0.6]
k=957, solve_time = 10.21 ms
du = [ 2.34757108e-09 -1.16716088e-08]  | limits = [0.25, 0.6]
k=958, solve_time = 10.18 ms
du = [ 2.33547520e-09 -1.16204604e-08]  | limits = [0.25, 0.6]
k=959, solve_time = 10.23 ms
du = [ 2.32343870e-09 -1.15695562e-08]  | limits = [0.25, 0.6]
k=960, solve_time = 10.18 ms
du = [ 2.31145569e-09 -1.15188955e-08]  | limits = [0.25, 0.6]
k=961, solve_time = 10.18 ms
du = [ 2.29952346e-09 -1.14684773e-08]  | limits = [0.25, 0.6]
k=962, solve_time = 10.20 ms
du = [ 2.28766347e-09 -1.14183009e-08]  | limits = [0.25, 0.6]
k=963, solve_time = 10.17 ms
du = [ 2.27583799e-09 -1.13683651e-08]  | limits = [0.25, 0.6]
k=964, solve_time = 10.21 ms
du = [ 2.26407479e-09 -1.13186693e-08]  | limits = [0.25, 0.6]
k=965, solve_time = 10.16 ms
du = [ 2.25236865e-09 -1.12692124e-08]  | limits = [0.25, 0.6]
k=966, solve_time = 10.24 ms
du = [ 2.24070830e-09 -1.12199937e-08]  | limits = [0.25, 0.6]
k=967, solve_time = 10.27 ms
du = [ 2.22911694e-09 -1.11710124e-08]  | limits = [0.25, 0.6]
k=968, solve_time = 10.25 ms
du = [ 2.21756488e-09 -1.11222674e-08]  | limits = [0.25, 0.6]
k=969, solve_time = 10.21 ms
du = [ 2.20607445e-09 -1.10737580e-08]  | limits = [0.25, 0.6]
k=970, solve_time = 10.22 ms
du = [ 2.19463698e-09 -1.10254832e-08]  | limits = [0.25, 0.6]
k=971, solve_time = 10.24 ms
du = [ 2.18325274e-09 -1.09774424e-08]  | limits = [0.25, 0.6]
k=972, solve_time = 10.24 ms
du = [ 2.17191660e-09 -1.09296344e-08]  | limits = [0.25, 0.6]
k=973, solve_time = 10.27 ms
du = [ 2.16063827e-09 -1.08820587e-08]  | limits = [0.25, 0.6]
k=974, solve_time = 10.28 ms
du = [ 2.14941288e-09 -1.08347141e-08]  | limits = [0.25, 0.6]
k=975, solve_time = 10.21 ms
du = [ 2.13823564e-09 -1.07876000e-08]  | limits = [0.25, 0.6]
k=976, solve_time = 10.19 ms
du = [ 2.12711607e-09 -1.07407156e-08]  | limits = [0.25, 0.6]
k=977, solve_time = 10.25 ms
du = [ 2.11604924e-09 -1.06940598e-08]  | limits = [0.25, 0.6]
k=978, solve_time = 10.28 ms
du = [ 2.10502164e-09 -1.06476320e-08]  | limits = [0.25, 0.6]
k=979, solve_time = 10.19 ms
du = [ 2.09406945e-09 -1.06014313e-08]  | limits = [0.25, 0.6]
k=980, solve_time = 10.16 ms
du = [ 2.08314324e-09 -1.05554569e-08]  | limits = [0.25, 0.6]
k=981, solve_time = 10.18 ms
du = [ 2.07228621e-09 -1.05097078e-08]  | limits = [0.25, 0.6]
k=982, solve_time = 10.16 ms
du = [ 2.06147161e-09 -1.04641832e-08]  | limits = [0.25, 0.6]
k=983, solve_time = 10.16 ms
du = [ 2.05071219e-09 -1.04188826e-08]  | limits = [0.25, 0.6]
k=984, solve_time = 10.21 ms
du = [ 2.04000799e-09 -1.03738049e-08]  | limits = [0.25, 0.6]
